"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr909","South Coast Survey","10.15468/fyngz8","South Coast Survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access

All users need to acknowledge and agree to the following conditions before using NatureMap content:

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data.

Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC).

Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here.

Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.)

My username and password will not be passed on to any other person or organisation.

DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with.

I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level.

Also note:

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets

It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis.

Fair Use Guidlines

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data.

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap.

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with.

Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law.

Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC.

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr909","","","","31"
"co66","John T. Waterhouse Herbarium","","Records provided by John T. Waterhouse Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co66","","","","293"
"dp54","CSIRO Oceans & Atmosphere","","Records provided by CSIRO Oceans & Atmosphere, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp54","","","","7"
"co65","N.C.W. Beadle Herbarium","","Records provided by N.C.W. Beadle Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co65","","","","8154"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","363"
"co60","Tasmanian Herbarium","","Records provided by Tasmanian Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co60","","","","6549"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]).","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]).","For more information: https://collections.ala.org.au/public/show/dr1097","","","","135034"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","1039"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","Queensland Government","CC-BY","For more information: https://collections.ala.org.au/public/show/dr1132","","","","14675"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","CC-BY-NC-Int","For more information: https://collections.ala.org.au/public/show/dr1411","","","","6128"
"dr741","Records from the South Australian Seed Conservation Centre","10.15468/yr1fds","Records provided by Records from the South Australian Seed Conservation Centre, accessed through ALA website.","CC-BY","For more information: https://collections.ala.org.au/public/show/dr741","","","","50"
"in21","Royal Botanic Gardens Victoria","","Records provided by Royal Botanic Gardens Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in21","","","","24859"
"in24","Tasmanian Department of Primary Industries, Parks, Water and Environment","","Records provided by Tasmanian Department of Primary Industries, Parks, Water and Environment, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in24","","","","206"
"in25","Tasmanian Museum and Art Gallery","","Records provided by Tasmanian Museum and Art Gallery, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in25","","","","6549"
"dr745","Records of the Victorian Conservation Seedbank","10.15468/aumrki","Victorian Conservation Seedbank, a resource of the Royal Botanic Gardens Melbourne. Content from this website should be attributed as:
Royal Botanic Gardens Melbourne (<current year>) Victorian Conservation Seedbank (Accessed <date of access>)
","CC-BY","For more information: https://collections.ala.org.au/public/show/dr745","","","","6"
"dp47","Australian Seedbank Partnership","","Records provided by Australian Seedbank Partnership, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp47","","","","3274"
"dp46","NatureMap","","Records provided by NatureMap, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp46","","","","4246"
"dr9662","Brisbane City Council","10.15468/ljfjwq","Brisbane City Council (https://www.brisbane.qld.gov.au/)","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr9662","","","","1284"
"co55","National Herbarium of Victoria","","Records provided by National Herbarium of Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co55","","","","24859"
"co54","National Herbarium of New South Wales","","Records provided by National Herbarium of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co54","","","","96159"
"dr2592","Logan City Council Species Sightings","10.15468/pxqupc","Logan City Council, Queensland","CC-BY","For more information: https://collections.ala.org.au/public/show/dr2592","","","","6"
"dr15859","North Queensland Eucalypt records - Don Franklin","","Don Franklin eucalypt records","CC BY-NC-Int","For more information: https://collections.ala.org.au/public/show/dr15859","","","","2102"
"dr8212","Conservation Atlas Surveys","doi.org/10.15468/yoxxna","Specht A., Bolton M.P., Kingsford B., Specht R.L., Belbin L. (2018) A story of data won, data lost and data re-found: the realities of ecological data preservation. Biodiversity Data Journal 6:e28073. doi: 10.3897/BDJ.6.e28073","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr8212","None.","None","","3248"
"co301","Wallace Herbarium","","Records provided by Wallace Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co301","","","","262"
"in119","Scion","","Records provided by Scion, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in119","","","","17"
"dr691","Plants of Scotia Sanctuary ","10.15468/ymtyqe","Australian Wildlife Conservancy
","CC-BY","For more information: https://collections.ala.org.au/public/show/dr691","","","","63"
"dr693","Species at 290 Leppitt Road, Upper Beaconsfield","10.15468/liglpo","Laura Levens","CC-BY","For more information: https://collections.ala.org.au/public/show/dr693","","","","6"
"dr1947","Canberra Nature Map","10.15468/uv6p4z","Canberra Nature Map http://canberranaturemap.org Content from this website should be attributed as:

Canberra Nature Map (<current year>, accessed <date of access>)","CC-BY","For more information: https://collections.ala.org.au/public/show/dr1947","","The data supplied by Canberra Nature Map to the ALA is a subset of data containing non-sensitive sightings suitable for public access via the ALA. If the ALA provides a sensitive data service that provides suitable restrictions, CNM may choose to provide further data that will be processed by this service before being made available for public access.","","771"
"dr13282","MELU AVH data","https://doi.org/10.15468/2yyu7i","Records provided by MELU AVH data, accessed through ALA website.","This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr13282","","","","4551"
"dp5142","Shire of Kalamunda Biodiversity Inventory","","Records provided by Shire of Kalamunda Biodiversity Inventory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp5142","","","","10"
"dr928","Jervois and Karinga Flora","10.15468/bs0bdf","J. Carpenter, 2012","CC-BY","For more information: https://collections.ala.org.au/public/show/dr928","","","","1"
"dr13802","Burgoigee Creek Landcare Nest Box Monitoring ","","Records provided by Burgoigee Creek Landcare Nest Box Monitoring , accessed through ALA website.","other","For more information: https://collections.ala.org.au/public/show/dr13802","","","","33"
"dr1030","Bush Heritage - Carnarvon Station Reserve","10.15468/q0dhpr","Bush Heritage Australia","CC-BY","For more information: https://collections.ala.org.au/public/show/dr1030","","","","294"
"dp3764","Ecosystems of the sandstone region incl. sand-belt (SE of Melb.)","","Records provided by Ecosystems of the sandstone region incl. sand-belt (SE of Melb.), accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3764","","","","5"
"dr5475","Macquarie University Biodiversity and Conservation Student Observations","10.15468/croedo","data collected by students of BIOL349 Biodiversity and Conservation, Macquarie University","CC-BY","For more information: https://collections.ala.org.au/public/show/dr5475","","","","4"
"co214","Allan Herbarium","","Records provided by Allan Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co214","","","","7"
"dr366","SA Flora (BDBSA)","10.15468/af24d8","© Crown in right of the State of South Australia, Department of Environment, Water and Natural Resources.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr366","- Data is supplied to ALA as held on BDBSA.
- Copies of third party datasets held by DEW are not available through SAFlora and SAFauna in ALA. 
- Information about BDBSA datasets is available through the DEW website ( http://apps.environment.sa.gov.au/emap/envmaps-query.do?cmd=su.SurveySummaryMain )","- DEW provides advice as required on restrictions to sensitive records.
- DEW perform standard filtering of BDBSA data prior to release. These standard filters include records considered questionable due to location or taxonomic issues and sub fossil records","","137220"
"in40","James Cook University","","Records provided by James Cook University, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in40","","","","667"
"dr368","OEH Atlas of NSW Wildlife","10.15468/14jd9g","BioNet Species Sightings occurrence data held by the NSW Office of Environment and Heritage (OEH).   The BioNet repository holds data from a number of sources and custodians. (Accessed through ALA Data Portal,<Date of Access>).","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr368","","","","341203"
"in42","Queensland Department of Environment and Science","","Records provided by Queensland Department of Environment and Science, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in42","","","","11027"
"in41","Department of Environment, Water and Natural Resources","","Records provided by Department of Environment, Water and Natural Resources, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in41","","","","64624"
"dr362","Flora Atlas N.T.","10.15468/d5o7bf","Data supplied by Dept. Natural Resources, Environment, The Arts and Sport. Northern Territory of Australia","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Data supplied is licensed under the Creative Commons Attribution 3.0 Australia License.","For more information: https://collections.ala.org.au/public/show/dr362","","","","22201"
"dr364","ALA species sightings and OzAtlas","10.15468/jayxmn","Records provided by ALA species sightings and OzAtlas, accessed through ALA website.","CC-BY","For more information: https://collections.ala.org.au/public/show/dr364","","","","1715"
"in47","University of Wollongong","","Records provided by University of Wollongong, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in47","","","","689"
"dr15033","Thredbo Park Bushcare Group","","Records provided by Thredbo Park Bushcare Group, accessed through ALA website.","other","For more information: https://collections.ala.org.au/public/show/dr15033","","","","1"
"dr14466","Sherwood Arboretum Botanical Collection Dataset","","The Sherwood Arboretum Botanical Collection Dataset was created by surveying undertaken by the Brisbane Botanic Gardens.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr14466","","","","146"
"co75","Western Australian Herbarium","","Records provided by Western Australian Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co75","","","","70505"
"dr14986","Lost fungi Australia","","Records provided by Lost fungi Australia, accessed through ALA website.","other","For more information: https://collections.ala.org.au/public/show/dr14986","","","","54"
"co72","The Janet Cosh Herbarium","","Records provided by The Janet Cosh Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co72","","","","689"
"dr360","Encyclopedia of Life Images - Flickr Group","","Citation is at the individual image","Creative Commons - license at record level (Creative Commons - license at record level)","For more information: https://collections.ala.org.au/public/show/dr360","","","","577"
"co205","South Australian Seedbank","","Records provided by South Australian Seedbank, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co205","","","","50"
"in33","Western Australia, Department of Biodiversity, Conservation and Attractions","","Records provided by Western Australia, Department of Biodiversity, Conservation and Attractions, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in33","","","","70816"
"dr635","NatureShare","10.15468/4cqg2v","Records provided by NatureShare, accessed through ALA website.","CC-BY Images are CC-BY 2.5, Data is CC-BY-NC 3.0.","For more information: https://collections.ala.org.au/public/show/dr635","","","","552"
"co25","Northern Territory Herbarium (Darwin)","","Records provided by Northern Territory Herbarium (Darwin), accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co25","","","","12170"
"co196","Australian National Botanic Gardens Seed Bank","","Records provided by Australian National Botanic Gardens Seed Bank, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co196","","","","1033"
"dr949","Shark Bay Survey","10.15468/rage8t","Shark Bay Survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access All users need to acknowledge and agree to the following conditions before using NatureMap content: Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) My username and password will not be passed on to any other person or organisation. DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. Also note: Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. Fair Use Guidlines As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. Of particular note: Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. For full terms of use see Copyright page at http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr949","","","","10"
