"date","GPP","Tair","SW","year","month","day","hour"
2019-01-01 00:00:00,0,32.69627,0,2019,1,1,0
2019-01-01 00:30:00,0,31.85861,0,2019,1,1,0
2019-01-01 00:59:59,0,30.99184,0,2019,1,1,0
2019-01-01 01:30:00,0,30.34448,0,2019,1,1,1
2019-01-01 02:00:00,0,30.04222,0,2019,1,1,2
2019-01-01 02:29:59,0,29.75412,0,2019,1,1,2
2019-01-01 03:00:00,0,29.51659,0,2019,1,1,3
2019-01-01 03:30:00,0,29.32105,0,2019,1,1,3
2019-01-01 03:59:59,0,28.93939,0,2019,1,1,3
2019-01-01 04:30:00,0,28.53592,0,2019,1,1,4
2019-01-01 05:00:00,0,26.92443,0,2019,1,1,5
2019-01-01 05:29:59,0,25.73019,0,2019,1,1,5
2019-01-01 06:00:00,0,25.45532,0,2019,1,1,6
2019-01-01 06:30:00,0,25.90976,30.09397,2019,1,1,6
2019-01-01 06:59:59,0,27.6933,120.8178,2019,1,1,6
2019-01-01 07:30:00,0.525815517114213,30.84363,234.4697,2019,1,1,7
2019-01-01 08:00:00,0.689077112005919,32.51863,355.3421,2019,1,1,8
2019-01-01 08:29:59,0.746726914757822,33.6537,478.0752,2019,1,1,8
2019-01-01 09:00:00,1.21621071973767,34.46891,514.3891,2019,1,1,9
2019-01-01 09:30:00,2.26311931626962,35.33042,702.2142,2019,1,1,9
2019-01-01 09:59:59,2.01683077253986,36.24589,801.4294,2019,1,1,9
2019-01-01 10:30:00,2.25444449710137,36.96978,881.4946,2019,1,1,10
2019-01-01 11:00:00,3.01793926220238,37.80672,949.3917,2019,1,1,11
2019-01-01 11:29:59,1.45501997484059,38.34,1001.786,2019,1,1,11
2019-01-01 12:00:00,1.19164028877483,38.76255,1039.142,2019,1,1,12
2019-01-01 12:30:00,1.51406126919542,39.17552,1063.161,2019,1,1,12
2019-01-01 12:59:59,1.18768976160811,39.45121,1072.18,2019,1,1,12
2019-01-01 13:30:00,1.64052261647745,39.88601,1079.127,2019,1,1,13
2019-01-01 14:00:00,1.51571256220302,40.38581,1075.764,2019,1,1,14
2019-01-01 14:29:59,1.09089489556477,40.8558,953.9772,2019,1,1,14
2019-01-01 15:00:00,0,40.84436,955.4356,2019,1,1,15
2019-01-01 15:30:00,0.906191570263588,41.08398,874.1435,2019,1,1,15
2019-01-01 15:59:59,1.38161809454985,41.30907,831.4625,2019,1,1,15
2019-01-01 16:30:00,1.43805412734716,41.69491,576.3186,2019,1,1,16
2019-01-01 17:00:00,0,41.08484,445.9312,2019,1,1,17
2019-01-01 17:29:59,0.293668555766107,40.91964,168.9332,2019,1,1,17
2019-01-01 18:00:00,0.156638118767161,40.68399,155.6859,2019,1,1,18
2019-01-01 18:30:00,0.0818724387718926,40.75754,91.04527,2019,1,1,18
2019-01-01 18:59:59,0.226790930716286,40.74538,73.16451,2019,1,1,18
2019-01-01 19:30:00,0,40.17607,8.651121,2019,1,1,19
