"date","GPP","Tair","SW","year","month","day","hour"
2018-01-01 00:30:00,0,22.72294,-0.9688923,2018,1,1,0
2018-01-01 01:00:00,0,22.70431,-1.350803,2018,1,1,1
2018-01-01 01:30:00,0,22.59726,-1.148197,2018,1,1,1
2018-01-01 02:00:00,0,22.51612,-1.051066,2018,1,1,2
2018-01-01 02:30:00,0,22.24558,-2.814929,2018,1,1,2
2018-01-01 03:00:00,0,21.96762,-3.538176,2018,1,1,3
2018-01-01 03:30:00,0,21.74474,-3.416891,2018,1,1,3
2018-01-01 04:00:00,0,21.73294,-3.096978,2018,1,1,4
2018-01-01 04:30:00,0,20.93923,-3.821157,2018,1,1,4
2018-01-01 05:00:00,0,20.60498,-1.381947,2018,1,1,5
2018-01-01 05:30:00,-2.78705335779012,20.35759,31.28611,2018,1,1,5
2018-01-01 06:00:00,-2.23215216687517,20.63284,114.6862,2018,1,1,6
2018-01-01 06:30:00,14.482619939945,22.5391,217.0927,2018,1,1,6
2018-01-01 07:00:00,17.1897138332754,23.253,334.7098,2018,1,1,7
2018-01-01 07:30:00,15.8909110007572,24.25665,453.088,2018,1,1,7
2018-01-01 08:00:00,10.6708558865051,24.9429,569.5796,2018,1,1,8
2018-01-01 08:30:00,6.64602769213957,25.87417,680.7104,2018,1,1,8
2018-01-01 09:00:00,6.53352409918285,26.81691,776.4995,2018,1,1,9
2018-01-01 09:30:00,8.09277488512948,28.06091,860.1187,2018,1,1,9
2018-01-01 10:00:00,3.86379858634868,29.27276,925.8505,2018,1,1,10
2018-01-01 10:30:00,7.30264449152848,30.08928,711.2504,2018,1,1,10
2018-01-01 11:00:00,8.49379668489641,30.94928,852.2208,2018,1,1,11
2018-01-01 11:30:00,6.48682272158804,31.63884,861.2914,2018,1,1,11
2018-01-01 12:00:00,2.86841967503126,32.65847,798.8788,2018,1,1,12
2018-01-01 12:30:00,-0.0184730594153191,30.0846,706.4069,2018,1,1,12
2018-01-01 13:00:00,4.09239555810254,29.6774,1131.254,2018,1,1,13
2018-01-01 13:30:00,7.93363047275211,28.97108,1040.93,2018,1,1,13
2018-01-01 14:00:00,5.38501867741115,28.95068,999.8589,2018,1,1,14
2018-01-01 14:30:00,5.95536838810583,28.97198,904.6674,2018,1,1,14
2018-01-01 15:00:00,6.99719291093214,28.78235,847.4557,2018,1,1,15
2018-01-01 15:30:00,4.76535446608545,28.48945,782.9251,2018,1,1,15
2018-01-01 16:00:00,5.68231389360646,28.59604,683.948,2018,1,1,16
2018-01-01 16:30:00,6.32461142903968,28.29862,576.7065,2018,1,1,16
2018-01-01 17:00:00,5.1771241251747,28.15049,456.2791,2018,1,1,17
2018-01-01 17:30:00,3.7248875041872,27.76738,343.1328,2018,1,1,17
2018-01-01 18:00:00,1.9648705725695,27.17644,229.5401,2018,1,1,18
2018-01-01 18:30:00,2.24955546521497,26.43966,121.2083,2018,1,1,18
2018-01-01 19:00:00,-1.74137564950139,25.54468,32.42698,2018,1,1,19
2018-01-01 19:30:00,0,24.7398,0.6209948,2018,1,1,19
2018-01-01 20:00:00,0,24.06203,-3.390147,2018,1,1,20
2018-01-01 20:30:00,0,23.86833,-1.664802,2018,1,1,20
2018-01-01 21:00:00,0,23.77215,-2.646786,2018,1,1,21
2018-01-01 21:30:00,0,23.38589,-3.587131,2018,1,1,21
2018-01-01 22:00:00,0,22.97644,-2.429984,2018,1,1,22
2018-01-01 22:30:00,0,22.74212,-1.656151,2018,1,1,22
2018-01-01 23:00:00,0,22.56686,-2.482178,2018,1,1,23
2018-01-01 23:30:00,0,22.16269,-3.396284,2018,1,1,23
2018-01-02 00:00:00,0,21.83749,-4.061613,2018,1,2,0
2018-01-02 00:30:00,0,21.72938,-3.700667,2018,1,2,0
2018-01-02 01:00:00,0,21.33933,-3.825891,2018,1,2,1
2018-01-02 01:30:00,0,20.8746,-4.027581,2018,1,2,1
2018-01-02 02:00:00,0,20.25277,-3.96735,2018,1,2,2
2018-01-02 02:30:00,0,20.01939,-3.724615,2018,1,2,2
2018-01-02 03:00:00,0,19.83273,-3.760618,2018,1,2,3
2018-01-02 03:30:00,0,19.60659,-3.701273,2018,1,2,3
2018-01-02 04:00:00,0,19.48256,-3.657222,2018,1,2,4
2018-01-02 04:30:00,0,19.13093,-3.668144,2018,1,2,4
2018-01-02 05:00:00,0,18.8606,-0.6725003,2018,1,2,5
2018-01-02 05:30:00,0.8040416832501,18.89308,35.09798,2018,1,2,5
2018-01-02 06:00:00,5.20473602074121,18.93523,118.3955,2018,1,2,6
2018-01-02 06:30:00,9.26616034605665,20.4654,185.3591,2018,1,2,6
2018-01-02 07:00:00,8.10637436107042,21.0119,146.513,2018,1,2,7
2018-01-02 07:30:00,6.76520508407174,21.30429,130.4368,2018,1,2,7
2018-01-02 08:00:00,8.96485061466964,21.77234,259.2871,2018,1,2,8
2018-01-02 08:30:00,12.1040720297344,22.55986,357.117,2018,1,2,8
2018-01-02 09:00:00,6.30373478894621,23.41108,415.2009,2018,1,2,9
2018-01-02 09:30:00,12.3038685358612,23.99647,465.1808,2018,1,2,9
2018-01-02 10:00:00,7.82123811701787,24.6868,653.4553,2018,1,2,10
2018-01-02 10:30:00,9.46166255010725,26.03046,1040.788,2018,1,2,10
2018-01-02 11:00:00,9.96243857961091,26.75278,1055.279,2018,1,2,11
2018-01-02 11:30:00,9.22792640822344,27.17364,1061.385,2018,1,2,11
2018-01-02 12:00:00,10.3400070356553,28.22319,1084.261,2018,1,2,12
2018-01-02 12:30:00,9.57294153639948,29.10807,1094.459,2018,1,2,12
2018-01-02 13:00:00,7.20536473176162,29.85149,1086.902,2018,1,2,13
2018-01-02 13:30:00,7.63625974683889,31.04557,1145.793,2018,1,2,13
2018-01-02 14:00:00,6.51631195005354,31.53876,1090.227,2018,1,2,14
