"date","GPP","Tair","SW","year","month","day","hour"
2014-01-01 00:00:00,0,31.76871,0,2014,1,1,0
2014-01-01 00:30:00,0,31.36795,0,2014,1,1,0
2014-01-01 00:59:59,0,31.98713,0,2014,1,1,0
2014-01-01 01:30:00,0,31.77277,0,2014,1,1,1
2014-01-01 02:00:00,0,30.82603,0,2014,1,1,2
2014-01-01 02:29:59,0,30.32279,0,2014,1,1,2
2014-01-01 03:00:00,0,29.69286,0,2014,1,1,3
2014-01-01 03:30:00,0,30.16347,0,2014,1,1,3
2014-01-01 03:59:59,0,29.85951,0,2014,1,1,3
2014-01-01 04:30:00,0,29.53983,0,2014,1,1,4
2014-01-01 05:00:00,0,29.21206,0,2014,1,1,5
2014-01-01 05:29:59,0,28.51181,0,2014,1,1,5
2014-01-01 06:00:00,0,27.73045,0,2014,1,1,6
2014-01-01 06:30:00,0.0196720660196491,26.51847,27.18172,2014,1,1,6
2014-01-01 06:59:59,0,27.54647,112.6397,2014,1,1,6
2014-01-01 07:30:00,0.235305995228887,30.38141,227.5788,2014,1,1,7
2014-01-01 08:00:00,1.07867865321282,32.82223,351.8205,2014,1,1,8
2014-01-01 08:29:59,1.80047316548876,34.43568,477.9601,2014,1,1,8
2014-01-01 09:00:00,3.79138769181933,35.12337,565.371,2014,1,1,9
2014-01-01 09:30:00,3.57848081009365,36.22546,714.4891,2014,1,1,9
2014-01-01 09:59:59,3.27632601699913,37.00824,819.1122,2014,1,1,9
2014-01-01 10:30:00,3.09953766257514,37.31902,914.1985,2014,1,1,10
2014-01-01 11:00:00,2.89095383128444,37.7448,991.7936,2014,1,1,11
2014-01-01 11:29:59,2.29804534657792,38.48945,1051.958,2014,1,1,11
2014-01-01 12:00:00,2.46004011114461,39.07025,1053.917,2014,1,1,12
2014-01-01 12:30:00,2.25419532843587,39.02711,784.9376,2014,1,1,12
2014-01-01 12:59:59,2.22096315493444,40.10678,1128.977,2014,1,1,12
2014-01-01 13:30:00,2.09517664490929,40.39149,1193.993,2014,1,1,13
2014-01-01 14:00:00,1.90364733078072,40.12672,1009.532,2014,1,1,14
2014-01-01 14:29:59,1.83161124303706,40.56883,1143.813,2014,1,1,14
2014-01-01 15:00:00,1.68668524468357,40.51952,1025.569,2014,1,1,15
2014-01-01 15:30:00,1.60543383204005,40.66785,812.3518,2014,1,1,15
2014-01-01 15:59:59,1.7050577790804,40.77515,867.5457,2014,1,1,15
2014-01-01 16:30:00,0.0277090434100132,40.8273,460.821,2014,1,1,16
2014-01-01 17:00:00,1.34616713616605,40.91799,625.3145,2014,1,1,17
2014-01-01 17:29:59,0,40.82147,339.4033,2014,1,1,17
2014-01-01 18:00:00,0.291036844088371,40.91122,354.6933,2014,1,1,18
2014-01-01 18:30:00,0.29243108108607,40.87049,229.4596,2014,1,1,18
2014-01-01 18:59:59,0,40.50027,104.7141,2014,1,1,18
2014-01-01 19:30:00,0,39.39763,8.247424,2014,1,1,19
2014-01-01 20:00:00,0,37.80304,0,2014,1,1,20
2014-01-01 20:29:59,0,36.0072,0,2014,1,1,20
2014-01-01 21:00:00,0,35.0904,0,2014,1,1,21
2014-01-01 21:30:00,0,34.51597,0,2014,1,1,21
2014-01-01 21:59:59,0,33.11539,0,2014,1,1,21
2014-01-01 22:30:00,0,31.74594,0,2014,1,1,22
2014-01-01 23:00:00,0,32.9836,0,2014,1,1,23
2014-01-01 23:29:59,0,32.43767,0,2014,1,1,23
2014-01-02 00:00:00,0,31.25932,0,2014,1,2,0
2014-01-02 00:30:00,0,31.60412,0,2014,1,2,0
2014-01-02 00:59:59,0,33.36677,0,2014,1,2,0
2014-01-02 01:30:00,0,33.49897,0,2014,1,2,1
2014-01-02 02:00:00,0,32.94128,0,2014,1,2,2
2014-01-02 02:29:59,0,30.00925,0,2014,1,2,2
2014-01-02 03:00:00,0,27.84475,0,2014,1,2,3
2014-01-02 03:30:00,0,28.67933,0,2014,1,2,3
2014-01-02 03:59:59,0,28.98416,0,2014,1,2,3
2014-01-02 04:30:00,0,28.99413,0,2014,1,2,4
2014-01-02 05:00:00,0,28.69476,0,2014,1,2,5
2014-01-02 05:29:59,0,29.21668,0,2014,1,2,5
2014-01-02 06:00:00,0,29.34249,0,2014,1,2,6
2014-01-02 06:30:00,0.216252759794762,29.9392,26.98267,2014,1,2,6
2014-01-02 06:59:59,0,31.62448,110.3589,2014,1,2,6
