"date","Tair","SW","year","month","day","hour"
2015-01-01 00:00:00,24.2970105,-0.8562493,2015,1,1,0
2015-01-01 00:30:00,24.4506725,-0.5199699,2015,1,1,0
2015-01-01 01:00:00,24.5275035,-0.6203949,2015,1,1,1
2015-01-01 01:30:00,24.6811655,-0.3999483,2015,1,1,1
2015-01-01 02:00:00,24.6043345,-1.266859,2015,1,1,2
2015-01-01 02:30:00,24.5275035,-0.6523644,2015,1,1,2
2015-01-01 03:00:00,24.6043345,-0.6035571,2015,1,1,3
2015-01-01 03:30:00,24.6811655,-1.294614,2015,1,1,3
2015-01-01 04:00:00,24.6043345,-0.9460059,2015,1,1,4
2015-01-01 04:30:00,24.4506725,-0.9645329,2015,1,1,4
2015-01-01 05:00:00,24.3738415,-0.9238628,2015,1,1,5
2015-01-01 05:30:00,24.2970105,-1.105343,2015,1,1,5
2015-01-01 06:00:00,24.2201795,1.286263,2015,1,1,6
2015-01-01 06:30:00,24.3738415,21.72395,2015,1,1,6
2015-01-01 07:00:00,24.6043345,47.39286,2015,1,1,7
2015-01-01 07:30:00,25.2958135,134.2889,2015,1,1,7
2015-01-01 08:00:00,26.2946165,162.3162,2015,1,1,8
2015-01-01 08:30:00,26.9092645,144.3291,2015,1,1,8
2015-01-01 09:00:00,27.2934195,268.6967,2015,1,1,9
2015-01-01 09:30:00,27.8312365,400.6018,2015,1,1,9
2015-01-01 10:00:00,28.6763775,566.8149,2015,1,1,10
2015-01-01 10:30:00,28.6763775,435.8289,2015,1,1,10
2015-01-01 11:00:00,29.1373635,623.3638,2015,1,1,11
2015-01-01 11:30:00,29.2910255,597.2602,2015,1,1,11
2015-01-01 12:00:00,29.5215185,641.7974,2015,1,1,12
2015-01-01 12:30:00,29.5983495,611.6771,2015,1,1,12
2015-01-01 13:00:00,29.5215185,707.0912,2015,1,1,13
2015-01-01 13:30:00,29.6751805,759.529,2015,1,1,13
2015-01-01 14:00:00,29.9825045,562.8254,2015,1,1,14
2015-01-01 14:30:00,30.2129975,693.6338,2015,1,1,14
2015-01-01 15:00:00,30.1361665,617.788,2015,1,1,15
2015-01-01 15:30:00,30.3666595,620.0413,2015,1,1,15
2015-01-01 16:00:00,30.2129975,515.7444,2015,1,1,16
2015-01-01 16:30:00,30.0593355,423.5312,2015,1,1,16
2015-01-01 17:00:00,29.0605325,262.8314,2015,1,1,17
2015-01-01 17:30:00,28.2922225,128.4096,2015,1,1,17
2015-01-01 18:00:00,27.3702505,34.4981,2015,1,1,18
2015-01-01 18:30:00,26.8324335,22.38988,2015,1,1,18
2015-01-01 19:00:00,26.6019405,4.383999,2015,1,1,19
2015-01-01 19:30:00,26.5251095,-0.696439,2015,1,1,19
2015-01-01 20:00:00,26.4482785,-0.8195717,2015,1,1,20
