"date","Tair","SW","year","month","day","hour"
2014-01-01 00:30:00,21.16014,-0.8434356,2014,1,1,0
2014-01-01 01:00:00,21.12259,-1.566822,2014,1,1,1
2014-01-01 01:30:00,20.84585,-2.051131,2014,1,1,1
2014-01-01 02:00:00,20.6534,-1.103813,2014,1,1,2
2014-01-01 02:30:00,20.50801,-1.49419,2014,1,1,2
2014-01-01 03:00:00,20.32145,-2.582331,2014,1,1,3
2014-01-01 03:30:00,20.31463,-1.133928,2014,1,1,3
2014-01-01 04:00:00,20.27788,-3.330634,2014,1,1,4
2014-01-01 04:30:00,20.01369,-3.087582,2014,1,1,4
2014-01-01 05:00:00,19.76131,0.9109567,2014,1,1,5
2014-01-01 05:30:00,19.57774,26.3843,2014,1,1,5
2014-01-01 06:00:00,19.51555,53.91732,2014,1,1,6
2014-01-01 06:30:00,20.271,228.6107,2014,1,1,6
2014-01-01 07:00:00,21.32607,281.0658,2014,1,1,7
2014-01-01 07:30:00,21.7067,374.1852,2014,1,1,7
2014-01-01 08:00:00,22.42282,481.653,2014,1,1,8
2014-01-01 08:30:00,23.99582,762.6713,2014,1,1,8
2014-01-01 09:00:00,23.91214,552.9711,2014,1,1,9
2014-01-01 09:30:00,24.88806,519.6038,2014,1,1,9
2014-01-01 10:00:00,25.98231,932.4937,2014,1,1,10
2014-01-01 10:30:00,26.8163,1039.18,2014,1,1,10
2014-01-01 11:00:00,27.4548,1069.321,2014,1,1,11
2014-01-01 11:30:00,28.19302,1080.495,2014,1,1,11
2014-01-01 12:00:00,29.19825,957.5314,2014,1,1,12
2014-01-01 12:30:00,29.89494,910.1971,2014,1,1,12
2014-01-01 13:00:00,30.99158,950.0096,2014,1,1,13
2014-01-01 13:30:00,30.99573,887.6283,2014,1,1,13
2014-01-01 14:00:00,31.26033,701.514,2014,1,1,14
2014-01-01 14:30:00,31.35335,594.17708,2014,1,1,14
2014-01-01 15:00:00,28.8748,486.84016,2014,1,1,15
2014-01-01 15:30:00,27.95347,379.50324,2014,1,1,15
2014-01-01 16:00:00,27.70824,272.16632,2014,1,1,16
2014-01-01 16:30:00,27.21541,164.8294,2014,1,1,16
2014-01-01 17:00:00,26.87429,130.5882,2014,1,1,17
2014-01-01 17:30:00,26.56046,83.49437,2014,1,1,17
2014-01-01 18:00:00,26.06234,48.80915,2014,1,1,18
2014-01-01 18:30:00,25.717,41.58041,2014,1,1,18
2014-01-01 19:00:00,25.32046,11.7995,2014,1,1,19
2014-01-01 19:30:00,24.8176,-1.410043,2014,1,1,19
2014-01-01 20:00:00,24.52458,-2.099599,2014,1,1,20
2014-01-01 20:30:00,24.21095,-2.48257,2014,1,1,20
2014-01-01 21:00:00,23.8402,-2.838993,2014,1,1,21
2014-01-01 21:30:00,23.32991,-1.975247,2014,1,1,21
2014-01-01 22:00:00,23.13886,-2.016882,2014,1,1,22
2014-01-01 22:30:00,22.86225,-2.022179,2014,1,1,22
2014-01-01 23:00:00,22.57834,-2.004157,2014,1,1,23
2014-01-01 23:30:00,22.20392,-1.832307,2014,1,1,23
2014-01-02 00:00:00,22.11733,-1.582777,2014,1,2,0
2014-01-02 00:30:00,22.28527,-1.187651,2014,1,2,0
2014-01-02 01:00:00,22.01043,-1.372527,2014,1,2,1
2014-01-02 01:30:00,22.11329,-1.32645,2014,1,2,1
2014-01-02 02:00:00,22.10692,-1.698832,2014,1,2,2
2014-01-02 02:30:00,21.89416,-1.448421,2014,1,2,2
2014-01-02 03:00:00,21.79212,-1.651866,2014,1,2,3
2014-01-02 03:30:00,21.41095,-1.516921,2014,1,2,3
2014-01-02 04:00:00,21.43921,-1.012554,2014,1,2,4
2014-01-02 04:30:00,21.99073,-1.979619,2014,1,2,4
2014-01-02 05:00:00,21.51331,-3.252301,2014,1,2,5
2014-01-02 05:30:00,21.38781,2.332501,2014,1,2,5
2014-01-02 06:00:00,21.37543,26.04032,2014,1,2,6
2014-01-02 06:30:00,21.68783,103.7215,2014,1,2,6
2014-01-02 07:00:00,22.82528,306.174,2014,1,2,7
2014-01-02 07:30:00,25.62944,546.6685,2014,1,2,7
2014-01-02 08:00:00,27.23485,438.7368,2014,1,2,8
2014-01-02 08:30:00,29.05527,472.6083,2014,1,2,8
