"date","Tair","SW","year","month","day","hour"
2016-01-01 00:00:00,27.15883,1.968279,2016,1,1,0
2016-01-01 00:30:00,26.58451,1.811166,2016,1,1,0
2016-01-01 01:00:00,26.39892,1.672435,2016,1,1,1
2016-01-01 01:30:00,26.0169,1.594354,2016,1,1,1
2016-01-01 02:00:00,25.92676,2.685251,2016,1,1,2
2016-01-01 02:30:00,25.87425,2.797855,2016,1,1,2
2016-01-01 03:00:00,25.79029,3.204037,2016,1,1,3
2016-01-01 03:30:00,25.71975,2.886809,2016,1,1,3
2016-01-01 04:00:00,25.58984,2.117847,2016,1,1,4
2016-01-01 04:30:00,25.41487,2.253299,2016,1,1,4
2016-01-01 05:00:00,25.31799,1.492962,2016,1,1,5
2016-01-01 05:30:00,25.25339,1.815455,2016,1,1,5
2016-01-01 06:00:00,25.21406,2.497247,2016,1,1,6
2016-01-01 06:30:00,25.26745,6.519118,2016,1,1,6
2016-01-01 07:00:00,25.41563,29.00587,2016,1,1,7
2016-01-01 07:30:00,25.81332,75.1216,2016,1,1,7
2016-01-01 08:00:00,26.56411,184.3908,2016,1,1,8
2016-01-01 08:30:00,27.20798,215.131,2016,1,1,8
2016-01-01 09:00:00,27.70345,222.8444,2016,1,1,9
2016-01-01 09:30:00,27.88913,235.1208,2016,1,1,9
2016-01-01 10:00:00,28.59159,496.5271,2016,1,1,10
2016-01-01 10:30:00,29.23532,571.4689,2016,1,1,10
2016-01-01 11:00:00,29.52142,520.3648,2016,1,1,11
2016-01-01 11:30:00,29.91907,611.8608,2016,1,1,11
2016-01-01 12:00:00,30.5561,947.2301,2016,1,1,12
2016-01-01 12:30:00,30.97285,826.4589,2016,1,1,12
2016-01-01 13:00:00,31.47025,879.3822,2016,1,1,13
2016-01-01 13:30:00,31.945,943.5012,2016,1,1,13
2016-01-01 14:00:00,32.29034,958.7562,2016,1,1,14
2016-01-01 14:30:00,32.475,873.2784,2016,1,1,14
2016-01-01 15:00:00,32.47866,648.0873,2016,1,1,15
2016-01-01 15:30:00,32.85879,869.0839,2016,1,1,15
2016-01-01 16:00:00,32.92109,698.7778,2016,1,1,16
2016-01-01 16:30:00,32.725,551.1607,2016,1,1,16
2016-01-01 17:00:00,32.65865,533.4808,2016,1,1,17
2016-01-01 17:30:00,32.1679,380.4322,2016,1,1,17
2016-01-01 18:00:00,31.29346,88.49011,2016,1,1,18
2016-01-01 18:30:00,30.67951,44.53078,2016,1,1,18
2016-01-01 19:00:00,30.16668,27.68748,2016,1,1,19
2016-01-01 19:30:00,29.67255,6.099544,2016,1,1,19
2016-01-01 20:00:00,29.09674,2.128943,2016,1,1,20
2016-01-01 20:30:00,28.7398,2.170456,2016,1,1,20
2016-01-01 21:00:00,28.38443,2.169957,2016,1,1,21
2016-01-01 21:30:00,27.98376,2.165235,2016,1,1,21
2016-01-01 22:00:00,27.55746,2.168841,2016,1,1,22
2016-01-01 22:30:00,27.2757,2.167192,2016,1,1,22
2016-01-01 23:00:00,27.06618,2.164452,2016,1,1,23
2016-01-01 23:30:00,26.75489,2.169965,2016,1,1,23
2016-01-02 00:00:00,26.53885,2.159546,2016,1,2,0
2016-01-02 00:30:00,26.34322,2.167158,2016,1,2,0
2016-01-02 01:00:00,26.13614,2.109771,2016,1,2,1
2016-01-02 01:30:00,25.96387,2.6235,2016,1,2,1
2016-01-02 02:00:00,26.05455,3.411881,2016,1,2,2
2016-01-02 02:30:00,26.21787,3.428908,2016,1,2,2
2016-01-02 03:00:00,26.42965,3.395408,2016,1,2,3
2016-01-02 03:30:00,26.50076,3.260419,2016,1,2,3
2016-01-02 04:00:00,26.44978,3.272158,2016,1,2,4
2016-01-02 04:30:00,26.52253,3.308831,2016,1,2,4
2016-01-02 05:00:00,26.61128,3.216079,2016,1,2,5
2016-01-02 05:30:00,26.56082,3.309383,2016,1,2,5
2016-01-02 06:00:00,26.51447,1.798437,2016,1,2,6
2016-01-02 06:30:00,26.3132,5.580675,2016,1,2,6
2016-01-02 07:00:00,26.29089,42.15693,2016,1,2,7
2016-01-02 07:30:00,26.51376,81.78931,2016,1,2,7
2016-01-02 08:00:00,27.04507,159.3303,2016,1,2,8
2016-01-02 08:30:00,27.64503,263.6306,2016,1,2,8
2016-01-02 09:00:00,28.38277,421.3829,2016,1,2,9
2016-01-02 09:30:00,29.32,572.4997,2016,1,2,9
2016-01-02 10:00:00,29.90676,712.4775,2016,1,2,10
2016-01-02 10:30:00,30.78412,801.5869,2016,1,2,10
2016-01-02 11:00:00,31.45169,885.4307,2016,1,2,11
2016-01-02 11:30:00,32.4914,947.7072,2016,1,2,11
2016-01-02 12:00:00,32.94539,1010.629,2016,1,2,12
2016-01-02 12:30:00,33.55558,985.4114,2016,1,2,12
2016-01-02 13:00:00,34.07363,1091.116,2016,1,2,13
2016-01-02 13:30:00,34.98641,1093.264,2016,1,2,13
2016-01-02 14:00:00,35.42239,954.7336,2016,1,2,14
2016-01-02 14:30:00,35.59892,1013.875,2016,1,2,14
2016-01-02 15:00:00,36.19567,876.7033,2016,1,2,15
2016-01-02 15:30:00,35.36345,618.649,2016,1,2,15
2016-01-02 16:00:00,35.43728,835.2853,2016,1,2,16
2016-01-02 16:30:00,35.36142,682.4276,2016,1,2,16
2016-01-02 17:00:00,35.02707,442.9356,2016,1,2,17
2016-01-02 17:30:00,34.1739,139.7535,2016,1,2,17
2016-01-02 18:00:00,33.79358,251.866,2016,1,2,18
2016-01-02 18:30:00,33.24004,188.2231,2016,1,2,18
2016-01-02 19:00:00,32.56138,86.45724,2016,1,2,19
2016-01-02 19:30:00,31.74215,13.71606,2016,1,2,19
2016-01-02 20:00:00,30.9476,2.256058,2016,1,2,20
2016-01-02 20:30:00,30.16481,2.148652,2016,1,2,20
2016-01-02 21:00:00,29.52965,2.114161,2016,1,2,21
2016-01-02 21:30:00,28.86185,1.936569,2016,1,2,21
2016-01-02 22:00:00,28.379,2.308833,2016,1,2,22
2016-01-02 22:30:00,28.31597,4.32902,2016,1,2,22
2016-01-02 23:00:00,28.37541,3.994901,2016,1,2,23
2016-01-02 23:30:00,28.18324,3.615799,2016,1,2,23
2016-01-03 00:00:00,27.92678,3.597553,2016,1,3,0
2016-01-03 00:30:00,27.72244,3.343575,2016,1,3,0
2016-01-03 01:00:00,27.35085,2.504428,2016,1,3,1
2016-01-03 01:30:00,26.67778,1.424387,2016,1,3,1
2016-01-03 02:00:00,26.54179,3.413228,2016,1,3,2
2016-01-03 02:30:00,26.63058,3.318907,2016,1,3,2
2016-01-03 03:00:00,26.55824,3.253412,2016,1,3,3
