"date","Tair","SW","year","month","day","hour"
2018-01-01 00:30:00,19.74061,-1.737845,2018,1,1,0
2018-01-01 01:00:00,19.65265,-1.558934,2018,1,1,1
2018-01-01 01:30:00,19.43448,-1.827866,2018,1,1,1
2018-01-01 02:00:00,19.14238,-1.539273,2018,1,1,2
2018-01-01 02:30:00,18.98909,-1.819861,2018,1,1,2
2018-01-01 03:00:00,18.00096,-2.120152,2018,1,1,3
2018-01-01 03:30:00,17.13978,-2.43023,2018,1,1,3
2018-01-01 04:00:00,17.06096,-0.8750175,2018,1,1,4
2018-01-01 04:30:00,17.14802,-0.9744688,2018,1,1,4
2018-01-01 05:00:00,17.054,-1.437399,2018,1,1,5
2018-01-01 05:30:00,16.51262,4.591874,2018,1,1,5
2018-01-01 06:00:00,15.67367,40.53227,2018,1,1,6
2018-01-01 06:30:00,17.50486,131.3691,2018,1,1,6
2018-01-01 07:00:00,19.44394,252.282,2018,1,1,7
2018-01-01 07:30:00,20.45612,369.6581,2018,1,1,7
2018-01-01 08:00:00,21.32483,487.6977,2018,1,1,8
2018-01-01 08:30:00,22.47737,602.9189,2018,1,1,8
2018-01-01 09:00:00,23.18305,711.8221,2018,1,1,9
2018-01-01 09:30:00,24.58264,807.0313,2018,1,1,9
2018-01-01 10:00:00,25.73103,894.2711,2018,1,1,10
2018-01-01 10:30:00,26.57711,977.0226,2018,1,1,10
2018-01-01 11:00:00,27.43317,1035.663,2018,1,1,11
2018-01-01 11:30:00,28.19629,1077.987,2018,1,1,11
2018-01-01 12:00:00,29.28165,1104.955,2018,1,1,12
2018-01-01 12:30:00,29.89129,1118.188,2018,1,1,12
2018-01-01 13:00:00,29.61746,1118.963,2018,1,1,13
2018-01-01 13:30:00,29.35719,1101.938,2018,1,1,13
2018-01-01 14:00:00,29.4624,1068.687,2018,1,1,14
2018-01-01 14:30:00,28.17978,1020.366,2018,1,1,14
2018-01-01 15:00:00,27.72175,954.0158,2018,1,1,15
2018-01-01 15:30:00,27.71202,874.778,2018,1,1,15
2018-01-01 16:00:00,26.79191,781.8801,2018,1,1,16
2018-01-01 16:30:00,26.45559,679.5002,2018,1,1,16
2018-01-01 17:00:00,26.18403,569.7925,2018,1,1,17
2018-01-01 17:30:00,25.58289,444.1648,2018,1,1,17
2018-01-01 18:00:00,25.20326,316.1285,2018,1,1,18
2018-01-01 18:30:00,24.33806,192.3909,2018,1,1,18
2018-01-01 19:00:00,23.39073,87.31988,2018,1,1,19
