"date","Tair","SW","year","month","day","hour"
2019-01-01 00:00:00,24.47304,-1.069321,2019,1,1,0
2019-01-01 00:30:00,24.32494,-1.158297,2019,1,1,0
2019-01-01 01:00:00,24.21313,-0.6269308,2019,1,1,1
2019-01-01 01:30:00,24.30513,-0.4008503,2019,1,1,1
2019-01-01 02:00:00,24.37614,0.04455656,2019,1,1,2
2019-01-01 02:30:00,24.40795,-0.8465458,2019,1,1,2
2019-01-01 03:00:00,24.3577,-1.110663,2019,1,1,3
2019-01-01 03:30:00,24.27283,-0.7603316,2019,1,1,3
2019-01-01 04:00:00,24.13279,-1.024673,2019,1,1,4
2019-01-01 04:30:00,24.19224,-0.7098279,2019,1,1,4
2019-01-01 05:00:00,24.62429,-1.113718,2019,1,1,5
2019-01-01 05:30:00,24.87411,-0.8940364,2019,1,1,5
2019-01-01 06:00:00,25.15119,-0.2673265,2019,1,1,6
2019-01-01 06:30:00,25.47126,-0.04759836,2019,1,1,6
2019-01-01 07:00:00,25.35461,9.490947,2019,1,1,7
2019-01-01 07:30:00,25.38876,36.22624,2019,1,1,7
2019-01-01 08:00:00,26.07664,92.38321,2019,1,1,8
2019-01-01 08:30:00,26.60998,145.7992,2019,1,1,8
2019-01-01 09:00:00,27.0095,267.2028,2019,1,1,9
2019-01-01 09:30:00,27.46249,337.018,2019,1,1,9
2019-01-01 10:00:00,27.82856,424.0191,2019,1,1,10
2019-01-01 10:30:00,28.51187,726.6844,2019,1,1,10
2019-01-01 11:00:00,29.24047,647.6866,2019,1,1,11
2019-01-01 11:30:00,29.75161,830.3007,2019,1,1,11
2019-01-01 12:00:00,29.95963,834.9817,2019,1,1,12
2019-01-01 12:30:00,30.1493,692.3417,2019,1,1,12
2019-01-01 13:00:00,30.04017,522.0934,2019,1,1,13
2019-01-01 13:30:00,30.05263,615.0399,2019,1,1,13
2019-01-01 14:00:00,30.18,723.8729,2019,1,1,14
2019-01-01 14:30:00,29.96934,550.8754,2019,1,1,14
2019-01-01 15:00:00,29.65214,379.9654,2019,1,1,15
2019-01-01 15:30:00,29.72264,545.7958,2019,1,1,15
2019-01-01 16:00:00,29.93978,500.1084,2019,1,1,16
2019-01-01 16:30:00,29.85848,549.5888,2019,1,1,16
2019-01-01 17:00:00,29.93891,413.4645,2019,1,1,17
2019-01-01 17:30:00,29.75175,278.2286,2019,1,1,17
2019-01-01 18:00:00,29.42216,138.0719,2019,1,1,18
2019-01-01 18:30:00,29.19794,93.45991,2019,1,1,18
2019-01-01 19:00:00,28.82562,46.84297,2019,1,1,19
2019-01-01 19:30:00,28.4549,15.09255,2019,1,1,19
2019-01-01 20:00:00,27.98953,-1.912741,2019,1,1,20
2019-01-01 20:30:00,27.60959,-2.313649,2019,1,1,20
2019-01-01 21:00:00,27.31676,-2.405747,2019,1,1,21
2019-01-01 21:30:00,27.02597,-1.918657,2019,1,1,21
2019-01-01 22:00:00,26.92063,-1.871198,2019,1,1,22
2019-01-01 22:30:00,26.86453,-1.69276,2019,1,1,22
2019-01-01 23:00:00,26.75523,-1.73737,2019,1,1,23
2019-01-01 23:30:00,26.68788,-1.603783,2019,1,1,23
2019-01-02 00:00:00,26.6922,-1.559292,2019,1,2,0
2019-01-02 00:30:00,26.6886,-1.425477,2019,1,2,0
2019-01-02 01:00:00,26.54208,-1.381056,2019,1,2,1
2019-01-02 01:30:00,26.3252,-1.336506,2019,1,2,1
2019-01-02 02:00:00,26.20424,-1.3365,2019,1,2,2
2019-01-02 02:30:00,26.19339,-1.425613,2019,1,2,2
2019-01-02 03:00:00,26.18994,-1.336496,2019,1,2,3
2019-01-02 03:30:00,26.3128,-0.7604122,2019,1,2,3
2019-01-02 04:00:00,26.52403,-0.8878964,2019,1,2,4
2019-01-02 04:30:00,26.42649,-1.069016,2019,1,2,4
2019-01-02 05:00:00,26.52579,-1.024835,2019,1,2,5
2019-01-02 05:30:00,26.6654,-0.8908463,2019,1,2,5
2019-01-02 06:00:00,26.80254,-0.9354231,2019,1,2,6
2019-01-02 06:30:00,26.74018,-0.05362,2019,1,2,6
2019-01-02 07:00:00,26.67526,28.93497,2019,1,2,7
2019-01-02 07:30:00,26.79201,79.34038,2019,1,2,7
2019-01-02 08:00:00,27.07197,142.3598,2019,1,2,8
2019-01-02 08:30:00,27.38294,180.3826,2019,1,2,8
2019-01-02 09:00:00,27.80912,348.9727,2019,1,2,9
2019-01-02 09:30:00,28.16012,371.4657,2019,1,2,9
2019-01-02 10:00:00,28.73595,392.2016,2019,1,2,10
2019-01-02 10:30:00,29.50779,746.5087,2019,1,2,10
2019-01-02 11:00:00,29.65101,503.2242,2019,1,2,11
2019-01-02 11:30:00,30.0753,806.1008,2019,1,2,11
2019-01-02 12:00:00,29.96242,596.8146,2019,1,2,12
2019-01-02 12:30:00,29.9341,787.3492,2019,1,2,12
2019-01-02 13:00:00,30.48703,951.2863,2019,1,2,13
2019-01-02 13:30:00,30.91504,897.3229,2019,1,2,13
2019-01-02 14:00:00,30.66702,895.8733,2019,1,2,14
2019-01-02 14:30:00,30.69023,838.4586,2019,1,2,14
2019-01-02 15:00:00,30.45001,595.5468,2019,1,2,15
2019-01-02 15:30:00,30.70749,647.833,2019,1,2,15
2019-01-02 16:00:00,30.34895,551.4741,2019,1,2,16
2019-01-02 16:30:00,29.23915,427.888,2019,1,2,16
2019-01-02 17:00:00,29.53369,585.8945,2019,1,2,17
2019-01-02 17:30:00,30.22657,401.7074,2019,1,2,17
2019-01-02 18:00:00,30.21488,306.3304,2019,1,2,18
2019-01-02 18:30:00,29.72248,165.1169,2019,1,2,18
2019-01-02 19:00:00,28.98233,80.03133,2019,1,2,19
2019-01-02 19:30:00,28.46949,13.4093,2019,1,2,19
2019-01-02 20:00:00,27.94882,-1.912696,2019,1,2,20
2019-01-02 20:30:00,27.61902,-1.648484,2019,1,2,20
2019-01-02 21:00:00,27.41214,-1.422624,2019,1,2,21
2019-01-02 21:30:00,27.2044,-1.473266,2019,1,2,21
2019-01-02 22:00:00,27.0404,-1.514621,2019,1,2,22
2019-01-02 22:30:00,26.88068,-1.381093,2019,1,2,22
2019-01-02 23:00:00,26.79896,-1.29197,2019,1,2,23
2019-01-02 23:30:00,26.72867,-1.381084,2019,1,2,23
2019-01-03 00:00:00,26.71567,-1.425628,2019,1,3,0
2019-01-03 00:30:00,26.75015,-1.336522,2019,1,3,0
2019-01-03 01:00:00,26.68602,-1.381079,2019,1,3,1
