"date","Tair","SW","year","month","day","hour"
2012-01-01 01:00:00,16.58307063,-1.8208662,2012,1,1,1
2012-01-01 02:00:00,16.24704298,-2.3129922,2012,1,1,2
2012-01-01 03:00:00,15.7545691,-2.46063,2012,1,1,3
2012-01-01 04:00:00,15.69635533,-2.7805119,2012,1,1,4
2012-01-01 05:00:00,15.82595071,-1.3779528,2012,1,1,5
2012-01-01 06:00:00,15.86237071,66.4862226,2012,1,1,6
2012-01-01 07:00:00,16.30084921,262.795284,2012,1,1,7
2012-01-01 08:00:00,17.20816368,497.0226537,2012,1,1,8
2012-01-01 09:00:00,18.14950649,705.1427391,2012,1,1,9
2012-01-01 10:00:00,18.58061588,883.858296,2012,1,1,10
2012-01-01 11:00:00,19.66713847,1019.439009,2012,1,1,11
2012-01-01 12:00:00,20.34923328,1061.515782,2012,1,1,12
2012-01-01 13:00:00,21.05049128,895.915383,2012,1,1,13
2012-01-01 14:00:00,21.83358353,1071.358302,2012,1,1,14
2012-01-01 15:00:00,22.30423876,947.096487,2012,1,1,15
2012-01-01 16:00:00,22.72933788,763.2382134,2012,1,1,16
2012-01-01 17:00:00,23.02665839,548.6712774,2012,1,1,17
2012-01-01 18:00:00,23.05195628,336.614184,2012,1,1,18
2012-01-01 19:00:00,22.49533302,80.6348451,2012,1,1,19
2012-01-01 20:00:00,21.62779584,5.9547246,2012,1,1,20
2012-01-01 21:00:00,21.32658794,-2.5836615,2012,1,1,21
2012-01-01 22:00:00,20.26645331,-3.198819,2012,1,1,22
2012-01-01 23:00:00,19.01045602,-2.706693,2012,1,1,23
2012-01-02 00:00:00,18.85366883,-2.0915355,2012,1,2,0
2012-01-02 01:00:00,18.49744767,-2.4114174,2012,1,2,1
2012-01-02 02:00:00,18.60362166,-3.0265749,2012,1,2,2
2012-01-02 03:00:00,18.11367632,-3.0511812,2012,1,2,3
2012-01-02 04:00:00,17.76127784,-2.9035434,2012,1,2,4
2012-01-02 05:00:00,17.71011712,-1.722441,2012,1,2,5
2012-01-02 06:00:00,17.91248033,61.6141752,2012,1,2,6
2012-01-02 07:00:00,18.34693954,243.7254015,2012,1,2,7
2012-01-02 08:00:00,19.0924396,472.0718655,2012,1,2,8
2012-01-02 09:00:00,19.64099192,682.2342738,2012,1,2,9
2012-01-02 10:00:00,20.27374279,861.958689,2012,1,2,10
2012-01-02 11:00:00,21.13976931,996.063024,2012,1,2,11
2012-01-02 12:00:00,22.07073414,1076.771688,2012,1,2,12
2012-01-02 13:00:00,22.82614679,1093.750035,2012,1,2,13
2012-01-02 14:00:00,23.33833884,1039.124049,2012,1,2,14
2012-01-02 15:00:00,23.98719922,939.222471,2012,1,2,15
2012-01-02 16:00:00,24.2396978,759.6949062,2012,1,2,16
2012-01-02 17:00:00,24.41453819,536.0482455,2012,1,2,17
2012-01-02 18:00:00,24.38179653,314.6899707,2012,1,2,18
2012-01-02 19:00:00,23.99587243,52.2883875,2012,1,2,19
2012-01-02 20:00:00,23.62427841,1.5255906,2012,1,2,20
2012-01-02 21:00:00,23.48715962,-2.7312993,2012,1,2,21
2012-01-02 22:00:00,23.40886184,-2.5098426,2012,1,2,22
2012-01-02 23:00:00,23.09972735,-3.0019686,2012,1,2,23
2012-01-03 00:00:00,23.00019578,-2.7312993,2012,1,3,0
2012-01-03 01:00:00,22.42721662,-3.1250001,2012,1,3,1
2012-01-03 02:00:00,22.62182745,-2.9035434,2012,1,3,2
2012-01-03 03:00:00,22.35377932,-2.4360237,2012,1,3,3
2012-01-03 04:00:00,21.52383931,-3.1003938,2012,1,3,4
2012-01-03 05:00:00,21.01013163,-1.9192914,2012,1,3,5
2012-01-03 06:00:00,20.92523126,43.0118124,2012,1,3,6
2012-01-03 07:00:00,20.94241342,219.6112275,2012,1,3,7
2012-01-03 08:00:00,21.081344,389.1978471,2012,1,3,8
2012-01-03 09:00:00,22.07964129,637.9429338,2012,1,3,9
2012-01-03 10:00:00,22.65383992,856.053177,2012,1,3,10
2012-01-03 11:00:00,23.2373862,980.068929,2012,1,3,11
2012-01-03 12:00:00,23.87381291,1047.244128,2012,1,3,12
2012-01-03 13:00:00,24.18946786,1028.051214,2012,1,3,13
2012-01-03 14:00:00,24.6513802,963.090582,2012,1,3,14
2012-01-03 15:00:00,24.90811458,809.055144,2012,1,3,15
2012-01-03 16:00:00,25.25909698,619.0452954,2012,1,3,16
2012-01-03 17:00:00,25.45257046,542.2982457,2012,1,3,17
2012-01-03 18:00:00,25.17470929,237.8691021,2012,1,3,18
2012-01-03 19:00:00,24.80430737,85.0639791,2012,1,3,19
2012-01-03 20:00:00,23.95496028,4.9950789,2012,1,3,20
2012-01-03 21:00:00,23.59762417,-3.2480316,2012,1,3,21
2012-01-03 22:00:00,23.65306052,-2.8789371,2012,1,3,22
2012-01-03 23:00:00,23.05079155,-2.9035434,2012,1,3,23
2012-01-04 00:00:00,22.68278877,-2.8543308,2012,1,4,0
2012-01-04 01:00:00,22.04307196,-3.0265749,2012,1,4,1
2012-01-04 02:00:00,21.5116794,-2.6328741,2012,1,4,2
2012-01-04 03:00:00,21.12636753,-1.722441,2012,1,4,3
2012-01-04 04:00:00,20.4982208,-2.2637796,2012,1,4,4
2012-01-04 05:00:00,20.15214119,-1.5748032,2012,1,4,5
2012-01-04 06:00:00,19.96102205,34.0059066,2012,1,4,6
2012-01-04 07:00:00,20.20726148,149.2618158,2012,1,4,7
2012-01-04 08:00:00,20.21564599,259.9901658,2012,1,4,8
2012-01-04 09:00:00,20.81342529,640.9695087,2012,1,4,9
2012-01-04 10:00:00,21.34046258,814.9852623,2012,1,4,10
2012-01-04 11:00:00,20.94383697,701.7470697,2012,1,4,11
2012-01-04 12:00:00,18.57296554,301.3533561,2012,1,4,12
2012-01-04 13:00:00,17.93694698,326.8946955,2012,1,4,13
2012-01-04 14:00:00,19.38372744,851.3287674,2012,1,4,14
2012-01-04 15:00:00,21.17164739,916.338612,2012,1,4,15
2012-01-04 16:00:00,21.14033425,681.6929352,2012,1,4,16
2012-01-04 17:00:00,21.38370916,524.9261979,2012,1,4,17
2012-01-04 18:00:00,21.28707197,283.5137886,2012,1,4,18
2012-01-04 19:00:00,21.02446419,84.9163413,2012,1,4,19
2012-01-04 20:00:00,20.26189646,7.6771656,2012,1,4,20
2012-01-04 21:00:00,19.27243912,-3.2480316,2012,1,4,21
2012-01-04 22:00:00,18.056137,-3.1742127,2012,1,4,22
2012-01-04 23:00:00,17.40809043,-3.1496064,2012,1,4,23
2012-01-05 00:00:00,16.38769078,-2.706693,2012,1,5,0
2012-01-05 01:00:00,15.26342917,-2.9773623,2012,1,5,1
2012-01-05 02:00:00,14.84794151,-3.4694883,2012,1,5,2
2012-01-05 03:00:00,14.58008999,-3.1496064,2012,1,5,3
2012-01-05 04:00:00,14.19931756,-2.7805119,2012,1,5,4
2012-01-05 05:00:00,13.69065203,-1.4025591,2012,1,5,5
2012-01-05 06:00:00,13.45651527,57.8986239,2012,1,5,6
2012-01-05 07:00:00,13.89527251,239.2962675,2012,1,5,7
2012-01-05 08:00:00,14.51040321,436.1466675,2012,1,5,8
2012-01-05 09:00:00,14.60808317,484.1535588,2012,1,5,9
2012-01-05 10:00:00,15.54056612,842.519712,2012,1,5,10
2012-01-05 11:00:00,17.0915719,1016.24019,2012,1,5,11
2012-01-05 12:00:00,17.83213433,944.88192,2012,1,5,12
2012-01-05 13:00:00,18.70014686,1010.826804,2012,1,5,13
2012-01-05 14:00:00,18.94751119,844.734279,2012,1,5,14
2012-01-05 15:00:00,19.43495038,601.5502161,2012,1,5,15
2012-01-05 16:00:00,20.1121648,815.698845,2012,1,5,16
2012-01-05 17:00:00,20.31978171,558.8582856,2012,1,5,17
2012-01-05 18:00:00,19.75064514,349.0403655,2012,1,5,18
2012-01-05 19:00:00,18.82934404,82.7017743,2012,1,5,19
2012-01-05 20:00:00,17.84325146,0.0984252,2012,1,5,20
2012-01-05 21:00:00,17.08003666,-3.4202757,2012,1,5,21
2012-01-05 22:00:00,16.37346772,-3.2726379,2012,1,5,22
2012-01-05 23:00:00,15.06094402,-2.7312993,2012,1,5,23
2012-01-06 00:00:00,14.63464534,-3.2234253,2012,1,6,0
2012-01-06 01:00:00,12.981124,-4.1338584,2012,1,6,1
2012-01-06 02:00:00,11.63534845,-3.5187009,2012,1,6,2
2012-01-06 03:00:00,11.64094808,-4.429134,2012,1,6,3
2012-01-06 04:00:00,11.03567523,-3.7401576,2012,1,6,4
2012-01-06 05:00:00,9.97453913,-2.3129922,2012,1,6,5
2012-01-06 06:00:00,9.453801049,66.2155533,2012,1,6,6
2012-01-06 07:00:00,10.2469256,254.3799294,2012,1,6,7
2012-01-06 08:00:00,11.72006216,505.8563154,2012,1,6,8
2012-01-06 09:00:00,13.34611792,722.5393932,2012,1,6,9
2012-01-06 10:00:00,14.78572836,911.909478,2012,1,6,10
2012-01-06 11:00:00,15.67532809,1049.212632,2012,1,6,11
2012-01-06 12:00:00,15.86340353,453.1496208,2012,1,6,12
2012-01-06 13:00:00,16.21845997,564.8868291,2012,1,6,13
2012-01-06 14:00:00,16.94857225,667.5197064,2012,1,6,14
2012-01-06 15:00:00,17.31382002,573.4006089,2012,1,6,15
2012-01-06 16:00:00,17.92180807,629.2815162,2012,1,6,16
2012-01-06 17:00:00,18.26814402,648.5482491,2012,1,6,17
2012-01-06 18:00:00,17.8753809,328.001979,2012,1,6,18
2012-01-06 19:00:00,16.8897587,72.6870102,2012,1,6,19
2012-01-06 20:00:00,15.48910924,0.5167323,2012,1,6,20
2012-01-06 21:00:00,14.59284969,-2.6082678,2012,1,6,21
2012-01-06 22:00:00,14.34114751,-2.6574804,2012,1,6,22
2012-01-06 23:00:00,13.97681808,-3.1496064,2012,1,6,23
2012-01-07 00:00:00,12.92022988,-3.6663387,2012,1,7,0
2012-01-07 01:00:00,11.81150787,-3.3464568,2012,1,7,1
2012-01-07 02:00:00,11.93605362,-2.3868111,2012,1,7,2
2012-01-07 03:00:00,12.1533218,-2.1899607,2012,1,7,3
2012-01-07 04:00:00,12.17594431,-1.9438977,2012,1,7,4
2012-01-07 05:00:00,11.84214656,-1.9192914,2012,1,7,5
2012-01-07 06:00:00,11.46056778,64.9360257,2012,1,7,6
2012-01-07 07:00:00,12.09279352,229.0108341,2012,1,7,7
2012-01-07 08:00:00,13.11766292,475.7874168,2012,1,7,8
2012-01-07 09:00:00,14.29637037,670.3494309,2012,1,7,9
2012-01-07 10:00:00,15.45743773,884.104359,2012,1,7,10
2012-01-07 11:00:00,16.78319398,1048.720506,2012,1,7,11
2012-01-07 12:00:00,17.90404853,1046.752002,2012,1,7,12
2012-01-07 13:00:00,18.58577501,847.8346728,2012,1,7,13
2012-01-07 14:00:00,18.98385653,1035.433104,2012,1,7,14
2012-01-07 15:00:00,19.5469206,893.700816,2012,1,7,15
2012-01-07 16:00:00,20.16797944,792.814986,2012,1,7,16
2012-01-07 17:00:00,20.44799087,534.5472612,2012,1,7,17
2012-01-07 18:00:00,20.0180238,186.2942973,2012,1,7,18
2012-01-07 19:00:00,19.55769678,41.7814974,2012,1,7,19
2012-01-07 20:00:00,19.64654178,1.5009843,2012,1,7,20
2012-01-07 21:00:00,20.11513634,-3.2972442,2012,1,7,21
2012-01-07 22:00:00,20.00288489,-2.5344489,2012,1,7,22
2012-01-07 23:00:00,20.02932013,-1.4517717,2012,1,7,23
2012-01-08 00:00:00,20.004627,-1.1072835,2012,1,8,0
2012-01-08 01:00:00,19.63546944,-1.8454725,2012,1,8,1
2012-01-08 02:00:00,18.89675115,-1.3287402,2012,1,8,2
2012-01-08 03:00:00,17.67826144,-1.4025591,2012,1,8,3
2012-01-08 04:00:00,16.50830435,-2.3868111,2012,1,8,4
2012-01-08 05:00:00,15.32418144,1.0580709,2012,1,8,5
2012-01-08 06:00:00,15.09088836,19.931103,2012,1,8,6
2012-01-08 07:00:00,14.35466875,61.2450807,2012,1,8,7
2012-01-08 08:00:00,14.20618395,211.2942981,2012,1,8,8
2012-01-08 09:00:00,14.40048867,120.6446889,2012,1,8,9
2012-01-08 10:00:00,14.93236902,150.9842568,2012,1,8,10
2012-01-08 11:00:00,15.93144278,243.0610314,2012,1,8,11
2012-01-08 12:00:00,16.39214311,232.529535,2012,1,8,12
2012-01-08 13:00:00,17.08438944,383.2923351,2012,1,8,13
2012-01-08 14:00:00,18.05920809,553.7401752,2012,1,8,14
2012-01-08 15:00:00,17.35046151,236.958669,2012,1,8,15
2012-01-08 16:00:00,17.38617472,116.8061061,2012,1,8,16
2012-01-08 17:00:00,16.3574254,56.0285451,2012,1,8,17
2012-01-08 18:00:00,15.83377526,32.3818908,2012,1,8,18
2012-01-08 19:00:00,15.71932875,11.4665358,2012,1,8,19
2012-01-08 20:00:00,15.7965962,1.4517717,2012,1,8,20
2012-01-08 21:00:00,15.33497255,-0.0246063,2012,1,8,21
2012-01-08 22:00:00,14.41680972,-0.4675197,2012,1,8,22
2012-01-08 23:00:00,14.08635931,0.0492126,2012,1,8,23
2012-01-09 00:00:00,13.68362387,-0.0984252,2012,1,9,0
2012-01-09 01:00:00,12.69064251,-0.7874016,2012,1,9,1
2012-01-09 02:00:00,11.55452212,-1.722441,2012,1,9,2
2012-01-09 03:00:00,10.47687757,-1.1811024,2012,1,9,3
2012-01-09 04:00:00,9.601414297,-1.4271654,2012,1,9,4
2012-01-09 05:00:00,8.91630016,-0.4675197,2012,1,9,5
2012-01-09 06:00:00,8.205247038,36.7372059,2012,1,9,6
2012-01-09 07:00:00,8.030448203,172.0718559,2012,1,9,7
2012-01-09 08:00:00,8.199117309,494.4389922,2012,1,9,8
2012-01-09 09:00:00,9.001018599,705.1919517,2012,1,9,9
2012-01-09 10:00:00,9.671592858,907.97247,2012,1,9,10
2012-01-09 11:00:00,10.26579412,950.541369,2012,1,9,11
2012-01-09 12:00:00,10.60234092,820.374042,2012,1,9,12
2012-01-09 13:00:00,11.02956292,917.076801,2012,1,9,13
