"date","Tair","SW","year","month","day","hour"
2013-01-01 00:30:00,18.49673,-4.105004,2013,1,1,0
2013-01-01 01:00:00,18.12288,-3.553055,2013,1,1,1
2013-01-01 01:30:00,17.60665,-3.730614,2013,1,1,1
2013-01-01 02:00:00,17.34513,-3.491131,2013,1,1,2
2013-01-01 02:30:00,16.86405,-3.557899,2013,1,1,2
2013-01-01 03:00:00,16.48684,-3.48771,2013,1,1,3
2013-01-01 03:30:00,16.38127,-3.014737,2013,1,1,3
2013-01-01 04:00:00,16.22208,-3.209472,2013,1,1,4
2013-01-01 04:30:00,15.84567,-2.921463,2013,1,1,4
2013-01-01 05:00:00,15.99873,-2.257566,2013,1,1,5
2013-01-01 05:30:00,15.92774,4.559123,2013,1,1,5
2013-01-01 06:00:00,15.59131,76.62356,2013,1,1,6
2013-01-01 06:30:00,16.17646,187.2854,2013,1,1,6
2013-01-01 07:00:00,17.84649,285.182,2013,1,1,7
2013-01-01 07:30:00,19.63739,395.2054,2013,1,1,7
2013-01-01 08:00:00,21.22429,506.9987,2013,1,1,8
2013-01-01 08:30:00,22.77602,610.676,2013,1,1,8
2013-01-01 09:00:00,24.26725,720.7003,2013,1,1,9
2013-01-01 09:30:00,25.18958,811.5701,2013,1,1,9
2013-01-01 10:00:00,26.23064,891.6775,2013,1,1,10
2013-01-01 10:30:00,27.29364,951.6934,2013,1,1,10
2013-01-01 11:00:00,27.97877,1001.255,2013,1,1,11
2013-01-01 11:30:00,28.34436,1043.35,2013,1,1,11
2013-01-01 12:00:00,29.26173,1073.486,2013,1,1,12
2013-01-01 12:30:00,29.65982,1065.407,2013,1,1,12
2013-01-01 13:00:00,30.8896,1082.667,2013,1,1,13
2013-01-01 13:30:00,31.25882,1064.9,2013,1,1,13
2013-01-01 14:00:00,31.52211,1012.256,2013,1,1,14
2013-01-01 14:30:00,31.78072,932.1127,2013,1,1,14
2013-01-01 15:00:00,32.22142,895.8134,2013,1,1,15
2013-01-01 15:30:00,32.49218,822.7272,2013,1,1,15
2013-01-01 16:00:00,32.51101,732.3632,2013,1,1,16
2013-01-01 16:30:00,33.01928,657.7358,2013,1,1,16
2013-01-01 17:00:00,33.02412,566.5666,2013,1,1,17
2013-01-01 17:30:00,32.26641,478.1742,2013,1,1,17
2013-01-01 18:00:00,31.35813,355.7081,2013,1,1,18
2013-01-01 18:30:00,30.28694,251.91,2013,1,1,18
2013-01-01 19:00:00,27.00962,115.6274,2013,1,1,19
2013-01-01 19:30:00,25.13115,30.09486,2013,1,1,19
2013-01-01 20:00:00,23.47466,2.428549,2013,1,1,20
2013-01-01 20:30:00,21.90357,-4.123327,2013,1,1,20
2013-01-01 21:00:00,20.24062,-3.971775,2013,1,1,21
2013-01-01 21:30:00,19.55871,-3.655004,2013,1,1,21
2013-01-01 22:00:00,18.81408,-3.881814,2013,1,1,22
2013-01-01 22:30:00,18.24356,-3.610128,2013,1,1,22
2013-01-01 23:00:00,17.83228,-3.766393,2013,1,1,23
2013-01-01 23:30:00,17.26983,-3.610583,2013,1,1,23
2013-01-02 00:00:00,16.98132,-3.803924,2013,1,2,0
2013-01-02 00:30:00,16.81277,-3.846819,2013,1,2,0
2013-01-02 01:00:00,16.48163,-3.954033,2013,1,2,1
2013-01-02 01:30:00,16.18361,-3.782395,2013,1,2,1
2013-01-02 02:00:00,15.87379,-4.014153,2013,1,2,2
2013-01-02 02:30:00,15.51218,-4.045788,2013,1,2,2
2013-01-02 03:00:00,15.26755,-3.74229,2013,1,2,3
2013-01-02 03:30:00,15.07038,-3.780957,2013,1,2,3
2013-01-02 04:00:00,14.91211,-3.775542,2013,1,2,4
2013-01-02 04:30:00,14.72182,-3.929924,2013,1,2,4
2013-01-02 05:00:00,14.33078,-3.127479,2013,1,2,5
2013-01-02 05:30:00,14.02075,10.78685,2013,1,2,5
2013-01-02 06:00:00,13.86307,76.16792,2013,1,2,6
2013-01-02 06:30:00,14.21563,197.2312,2013,1,2,6
2013-01-02 07:00:00,14.61678,291.0759,2013,1,2,7
2013-01-02 07:30:00,15.27534,403.4593,2013,1,2,7
2013-01-02 08:00:00,15.99594,493.0695,2013,1,2,8
2013-01-02 08:30:00,16.43945,609.0798,2013,1,2,8
2013-01-02 09:00:00,16.81186,686.757,2013,1,2,9
2013-01-02 09:30:00,17.90604,800.6777,2013,1,2,9
2013-01-02 10:00:00,18.79822,881.8926,2013,1,2,10
2013-01-02 10:30:00,19.21457,915.1404,2013,1,2,10
2013-01-02 11:00:00,19.85675,1013.959,2013,1,2,11
2013-01-02 11:30:00,20.47754,1065.454,2013,1,2,11
2013-01-02 12:00:00,21.38777,1089.691,2013,1,2,12
2013-01-02 12:30:00,22.15023,1100.558,2013,1,2,12
2013-01-02 13:00:00,22.94172,1095.13,2013,1,2,13
2013-01-02 13:30:00,23.57613,1074.957,2013,1,2,13
2013-01-02 14:00:00,23.99883,1038.154,2013,1,2,14
2013-01-02 14:30:00,24.35973,988.0523,2013,1,2,14
2013-01-02 15:00:00,24.72228,921.957,2013,1,2,15
2013-01-02 15:30:00,24.95325,844.6776,2013,1,2,15
